Number of nodes: 20
Number of links: 62
==================================================
source	dest.	hops	path (link ids)
==================================================
[0]	[0]	0/0/0	-/-/-
[0]	[1]	1/2/6	0/2-7/4-35-27-21-15-9
[0]	[2]	1/2/6	2/0-6/4-35-31-23-17-11
[0]	[3]	2/3/5	0-8/2-10-13/4-35-27-21-15
[0]	[4]	2/3/5	2-10/0-8-12/4-35-31-23-17
[0]	[5]	3/4/4	0-8-14/2-10-16-19/4-35-27-21
[0]	[6]	3/4/4	2-10-16/0-8-14-18/4-35-31-23
[0]	[7]	3/4/5	4-35-27/0-8-14-20/2-10-16-22-25
[0]	[8]	3/4/5	4-35-31/2-10-16-22/0-8-14-20-24
[0]	[9]	2/5/5	4-35/0-8-14-20-26/2-10-16-22-30
[0]	[10]	1/6/8	4/0-8-14-20-26-34/2-10-16-22-32-56-41-37
[0]	[11]	2/7/8	4-36/2-10-16-22-32-56-41/0-8-14-20-28-47-43-39
[0]	[12]	3/7/7	4-36-38/0-8-14-20-28-47-43/2-10-16-22-32-55-45
[0]	[13]	4/6/8	4-36-38-42/0-8-14-20-28-47/2-10-16-22-32-55-53-49
[0]	[14]	4/8/0	4-35-27-28/2-10-16-22-32-55-53-51/-
[0]	[15]	5/6/7	4-36-38-42-48/0-8-14-20-28-50/2-10-16-22-32-55-53
[0]	[16]	4/6/7	4-36-38-44/2-10-16-22-32-55/0-8-14-20-28-50-52
[0]	[17]	4/8/0	4-35-31-32/0-8-14-20-28-50-52-54/-
[0]	[18]	3/6/10	4-36-40/2-10-16-22-32-56/0-8-14-20-28-50-52-54-58-61
[0]	[19]	4/6/0	4-36-40-60/2-10-16-22-32-58/-
[1]	[0]	1/2/6	1/6-3/8-14-20-26-34-5
[1]	[1]	0/0/0	-/-/-
[1]	[2]	1/2/3	6/1-2/8-12-11
[1]	[3]	1/3/6	8/6-10-13/1-4-35-27-21-15
[1]	[4]	2/2/6	8-12/6-10/1-4-35-31-23-17
[1]	[5]	2/4/5	8-14/6-10-16-19/1-4-35-27-21
[1]	[6]	3/3/5	6-10-16/8-14-18/1-4-35-31-23
[1]	[7]	3/4/5	8-14-20/1-4-35-27/6-10-16-22-25
[1]	[8]	4/4/4	6-10-16-22/1-4-35-31/8-14-20-24
[1]	[9]	3/4/5	1-4-35/8-14-20-26/6-10-16-22-30
[1]	[10]	2/5/8	1-4/8-14-20-26-34/6-10-16-22-32-56-41-37
[1]	[11]	3/7/7	1-4-36/8-14-20-28-47-43-39/6-10-16-22-32-56-41
[1]	[12]	4/6/7	1-4-36-38/8-14-20-28-47-43/6-10-16-22-32-55-45
[1]	[13]	5/5/8	8-14-20-28-47/1-4-36-38-42/6-10-16-22-32-55-53-49
[1]	[14]	4/6/8	8-14-20-28/1-4-36-38-42-46/6-10-16-22-32-55-53-51
[1]	[15]	5/6/0	8-14-20-28-50/1-4-36-38-44-53/-
[1]	[16]	5/6/0	1-4-36-38-44/8-14-18-22-32-55/-
[1]	[17]	5/5/7	6-10-16-22-32/1-4-36-40-57/8-14-20-28-50-52-54
[1]	[18]	4/6/0	1-4-36-40/8-14-18-22-32-56/-
[1]	[19]	5/6/0	1-4-36-40-60/8-14-18-22-32-58/-
[2]	[0]	1/2/6	3/7-1/10-16-22-30-34-5
[2]	[1]	1/2/3	7/3-0/10-13-9
[2]	[2]	0/0/0	-/-/-
[2]	[3]	2/2/6	10-13/7-8/3-4-35-27-21-15
[2]	[4]	1/3/6	10/7-8-12/3-4-35-31-23-17
[2]	[5]	3/3/5	10-16-19/7-8-14/3-4-35-27-21
[2]	[6]	2/4/5	10-16/7-8-14-18/3-4-35-31-23
[2]	[7]	4/4/4	7-8-14-20/3-4-35-27/10-16-22-25
[2]	[8]	3/4/5	10-16-22/3-4-35-31/7-8-14-20-24
[2]	[9]	3/4/5	3-4-35/10-16-22-30/7-8-14-20-26
[2]	[10]	2/5/9	3-4/10-16-22-30-34/7-8-14-20-28-47-43-39-37
[2]	[11]	3/6/8	3-4-36/10-16-22-32-56-41/7-8-14-20-28-47-43-39
[2]	[12]	4/6/7	3-4-36-38/10-16-22-32-55-45/7-8-14-20-28-47-43
[2]	[13]	5/6/0	3-4-36-38-42/10-16-19-20-28-47/-
