Number of nodes: 20
Number of links: 78
==================================================
source	dest.	hops	path (link ids)
==================================================
[0]	[0]	0/0/0	-/-/-
[0]	[1]	1/3/4	0/1-14-6/1-13-4-6
[0]	[2]	2/3/3	1-13/0-3-7/1-14-7
[0]	[3]	2/2/3	0-3/1-14/1-13-4
[0]	[4]	1/3/4	1/0-3-8/0-3-7-5
[0]	[5]	2/3/3	1-15/0-3-9/1-14-9
[0]	[6]	2/3/3	1-16/1-15-21/1-18-57
[0]	[7]	3/3/4	1-15-22/1-16-26/0-3-9-22
[0]	[8]	3/3/3	0-3-10/1-14-10/1-18-58
[0]	[9]	3/3/3	0-3-11/1-14-11/1-15-23
[0]	[10]	4/4/4	0-3-10-34/1-14-10-34/1-18-58-34
[0]	[11]	3/3/4	1-16-27/1-18-59/0-3-10-35
[0]	[12]	3/3/4	1-16-28/1-17-54/1-15-21-28
[0]	[13]	2/4/4	1-17/0-3-8-17/1-16-28-51
[0]	[14]	2/3/4	1-18/1-16-29/0-3-8-18
[0]	[15]	3/4/4	1-18-60/1-16-27-49/1-18-59-49
[0]	[16]	4/4/4	0-3-10-37/1-14-10-37/1-18-58-37
[0]	[17]	3/3/4	1-17-55/1-18-61/1-17-54-52
[0]	[18]	5/5/5	0-3-10-34-44/1-14-10-34-44/0-3-10-37-69
[0]	[19]	3/4/4	1-18-62/1-16-29-62/1-18-61-73
[1]	[0]	1/3/4	2/3-8-12/3-7-5-12
[1]	[1]	0/0/0	-/-/-
[1]	[2]	2/3/3	3-7/2-1-13/3-8-13
[1]	[3]	1/3/4	3/2-1-14/2-1-13-4
[1]	[4]	2/2/3	2-1/3-8/3-7-5
[1]	[5]	2/3/3	3-9/2-1-15/3-8-15
[1]	[6]	3/3/3	2-1-16/3-8-16/3-9-21
[1]	[7]	3/4/4	3-9-22/2-1-15-22/3-8-15-22
[1]	[8]	2/3/4	3-10/3-11-40/2-1-14-10
[1]	[9]	2/3/3	3-11/3-9-23/3-10-33
[1]	[10]	3/4/4	3-10-34/3-11-40-34/3-10-37-67
[1]	[11]	3/3/4	3-10-35/3-11-41/2-1-16-27
[1]	[12]	4/4/4	2-1-16-28/3-8-16-28/2-1-17-54
[1]	[13]	3/3/4	2-1-17/3-8-17/3-7-5-17
[1]	[14]	3/3/3	2-1-18/3-8-18/3-10-36
[1]	[15]	4/4/4	3-10-35-49/2-1-18-60/3-11-41-49
[1]	[16]	3/4/4	3-10-37/3-11-40-37/3-10-34-43
[1]	[17]	4/4/4	2-1-17-55/3-8-17-55/2-1-18-61
[1]	[18]	4/4/5	3-10-34-44/3-10-37-69/3-11-40-34-44
[1]	[19]	4/4/4	2-1-18-62/3-8-18-62/3-10-36-62
[2]	[0]	2/3/3	5-12/4-6-2/4-8-12
[2]	[1]	2/3/3	4-6/5-12-0/5-14-6
[2]	[2]	0/0/0	-/-/-
[2]	[3]	1/2/3	4/5-14/5-15-19
[2]	[4]	1/2/3	5/4-8/4-9-20
[2]	[5]	2/2/3	4-9/5-15/4-8-15
[2]	[6]	2/3/3	5-16/4-8-16/5-15-21
[2]	[7]	3/3/3	4-9-22/5-15-22/5-16-26
[2]	[8]	2/3/3	4-10/5-14-10/4-11-40
[2]	[9]	2/3/3	4-11/5-14-11/4-9-23
[2]	[10]	3/4/4	4-10-34/5-14-10-34/4-11-40-34
[2]	[11]	3/3/3	4-10-35/5-16-27/4-11-41
[2]	[12]	3/3/4	5-16-28/5-17-54/4-8-16-28
[2]	[13]	2/3/4	5-17/4-8-17/5-16-28-51
[2]	[14]	2/3/3	5-18/4-8-18/5-16-29
[2]	[15]	3/4/4	5-18-60/4-10-35-49/5-16-27-49
[2]	[16]	3/4/4	4-10-37/5-14-10-37/4-11-40-37
[2]	[17]	3/3/4	5-17-55/5-18-61/4-8-17-55
[2]	[18]	4/4/5	4-10-34-44/4-10-37-69/5-14-10-34-44
[2]	[19]	3/4/4	5-18-62/4-8-18-62/5-16-29-62
[3]	[0]	2/2/3	6-2/8-12/7-5-12
[3]	[1]	1/3/4	6/8-12-0/7-5-12-0
[3]	[2]	1/2/3	7/8-13/9-20-13
[3]	[3]	0/0/0	-/-/-
[3]	[4]	1/2/2	8/7-5/9-20
[3]	[5]	1/2/2	9/8-15/11-39
