Number of nodes: 11
Number of links: 50
==================================================
source	dest.	hops	path (link ids)
==================================================
[0]	[0]	0/0/0	-/-/-
[0]	[1]	1/2/2	0/6-15/4-13
[0]	[2]	2/2/4	0-8/6-19/2-29-23-17
[0]	[3]	3/3/3	6-19-16/4-40-27/0-10-23
[0]	[4]	2/2/3	2-29/0-10/6-42-31
[0]	[5]	1/2/3	2/4-35/0-10-28
[0]	[6]	1/2/2	4/0-12/2-34
[0]	[7]	1/2/3	6/0-14/4-38-45
[0]	[8]	2/3/3	6-42/0-8-20/2-29-30
[0]	[9]	2/2/3	4-38/6-44/2-36-49
[0]	[10]	2/2/3	4-40/2-36/6-44-48
[1]	[0]	1/2/2	1/14-7/12-5
[1]	[1]	0/0/0	-/-/-
[1]	[2]	1/2/3	8/14-19/10-30-21
[1]	[3]	2/2/3	10-23/8-16/12-40-27
[1]	[4]	1/3/3	10/1-2-29/8-16-22
[1]	[5]	2/2/2	1-2/12-35/10-28
[1]	[6]	1/2/3	12/1-4/10-32-41
[1]	[7]	1/2/2	14/1-6/8-18
[1]	[8]	2/2/2	8-20/14-42/10-30
[1]	[9]	2/2/3	14-44/12-38/10-32-49
[1]	[10]	2/2/3	10-32/12-40/1-2-36
[2]	[0]	2/2/4	9-1/18-7/20-46-39-5
[2]	[1]	1/2/3	9/18-15/16-22-11
[2]	[2]	0/0/0	-/-/-
[2]	[3]	1/2/3	16/20-25/9-10-23
[2]	[4]	2/2/2	20-31/9-10/16-22
[2]	[5]	3/3/3	16-26-37/9-1-2/20-31-28
[2]	[6]	2/3/3	9-12/18-7-4/20-46-39
[2]	[7]	1/2/2	18/9-14/20-43
[2]	[8]	1/2/2	20/18-42/16-24
[2]	[9]	2/2/3	18-44/20-46/16-26-49
[2]	[10]	2/3/3	16-26/20-46-48/9-12-40
[3]	[0]	3/3/3	17-18-7/22-11-1/26-41-5
[3]	[1]	2/2/3	22-11/17-9/26-41-13
[3]	[2]	1/2/3	17/24-21/22-11-8
[3]	[3]	0/0/0	-/-/-
[3]	[4]	1/2/2	22/26-33/24-31
[3]	[5]	2/2/4	22-28/26-37/17-9-1-2
[3]	[6]	2/3/3	26-41/17-9-12/24-46-39
[3]	[7]	2/2/3	24-43/17-18/22-11-14
[3]	[8]	1/2/2	24/17-20/22-30
[3]	[9]	2/2/3	24-46/26-49/17-18-44
[3]	[10]	1/2/3	26/22-32/24-46-48
[4]	[0]	2/2/3	28-3/11-1/30-43-7
[4]	[1]	1/3/3	11/23-17-9/28-3-0
[4]	[2]	2/2/2	30-21/11-8/23-17
[4]	[3]	1/2/2	23/32-27/30-25
[4]	[4]	0/0/0	-/-/-
[4]	[5]	1/2/3	28/32-37/11-1-2
[4]	[6]	2/2/2	32-41/11-12/28-34
[4]	[7]	2/2/3	11-14/30-43/23-17-18
[4]	[8]	1/2/3	30/23-24/32-49-47
[4]	[9]	2/2/3	32-49/30-46/11-14-44
[4]	[10]	1/2/2	32/28-36/23-26
[5]	[0]	1/2/3	3/34-5/29-11-1
[5]	[1]	2/2/2	3-0/29-11/34-13
[5]	[2]	3/3/3	36-27-17/3-0-8/29-30-21
[5]	[3]	2/2/4	29-23/36-27/3-0-8-16
[5]	[4]	1/2/3	29/36-33/3-0-10
[5]	[5]	0/0/0	-/-/-
[5]	[6]	1/2/2	34/3-4/36-41
[5]	[7]	2/3/3	3-6/29-11-14/34-38-45
[5]	[8]	2/3/3	29-30/36-49-47/3-6-42
[5]	[9]	2/2/3	34-38/36-49/29-30-46
[5]	[10]	1/2/2	36/34-40/29-32
[6]	[0]	1/2/2	5/13-1/35-3
[6]	[1]	1/2/3	13/5-0/38-45-15
[6]	[2]	2/3/3	13-8/38-47-21/40-27-17
[6]	[3]	2/3/3	40-27/13-8-16/35-29-23
[6]	[4]	2/2/2	40-33/35-29/13-10
[6]	[5]	1/2/2	35/5-2/40-37
[6]	[6]	0/0/0	-/-/-
[6]	[7]	2/2/2	13-14/5-6/38-45
[6]	[8]	2/3/3	38-47/5-6-42/40-27-24
[6]	[9]	1/2/3	38/40-49/5-6-44
[6]	[10]	1/2/2	40/38-48/35-36
[7]	[0]	1/2/3	7/15-1/44-39-5
[7]	[1]	1/2/2	15/7-0/19-9
