Number of nodes: 21
Number of links: 78
==================================================
source	dest.	hops	path (link ids)
==================================================
[0]	[0]	0/0/0	-/-/-
[0]	[1]	1/2/3	0/1-11/6-72-11
[0]	[2]	1/2/2	1/0-8/6-72
[0]	[3]	1/2/3	2/3-22/4-29-22
[0]	[4]	2/2/3	2-15/3-23/2-16-23
[0]	[5]	1/2/2	3/2-16/4-29
[0]	[6]	2/2/3	2-17/4-30/3-22-17
[0]	[7]	1/2/3	4/3-24/2-16-24
[0]	[8]	2/2/3	4-31/6-73/4-30-27
[0]	[9]	2/2/3	4-32/5-53/3-24-32
[0]	[10]	3/3/3	4-31-35/6-73-35/4-32-41
[0]	[11]	4/4/4	4-31-35-46/6-73-35-46/4-32-41-46
[0]	[12]	3/3/3	4-32-42/5-53-42/5-54-56
[0]	[13]	1/3/4	5/4-32-43/3-24-32-43
[0]	[14]	2/3/3	5-54/4-31-36/6-73-36
[0]	[15]	3/3/3	4-31-37/6-73-37/6-74-76
[0]	[16]	3/4/4	5-54-58/4-31-36-58/6-73-36-58
[0]	[17]	4/4/4	4-31-37-61/6-73-37-61/5-54-58-65
[0]	[18]	2/2/2	0-9/1-12/2-18
[0]	[19]	1/2/3	6/1-13/0-8-13
[0]	[20]	2/3/3	6-74/4-31-39/6-73-39
[1]	[0]	1/2/3	7/8-10/9-69-10
[1]	[1]	0/0/0	-/-/-
[1]	[2]	1/2/2	8/7-1/9-69
[1]	[3]	2/2/3	7-2/9-70/7-3-22
[1]	[4]	3/3/3	7-2-15/9-70-15/7-3-23
[1]	[5]	2/3/3	7-3/8-10-3/7-2-16
[1]	[6]	3/3/3	7-2-17/9-70-17/7-4-30
[1]	[7]	2/3/3	7-4/8-10-4/7-3-24
[1]	[8]	3/3/3	7-4-31/8-13-73/7-6-73
[1]	[9]	3/3/4	7-4-32/7-5-53/8-10-4-32
[1]	[10]	4/4/4	7-4-31-35/8-13-73-35/7-6-73-35
[1]	[11]	5/5/5	7-4-31-35-46/8-13-73-35-46/7-6-73-35-46
[1]	[12]	4/4/4	7-4-32-42/7-5-53-42/7-5-54-56
[1]	[13]	2/3/4	7-5/8-10-5/7-4-32-43
[1]	[14]	3/4/4	7-5-54/8-10-5-54/7-4-31-36
[1]	[15]	4/4/4	7-4-31-37/8-13-73-37/7-6-73-37
[1]	[16]	4/5/5	7-5-54-58/8-13-73-36-58/7-4-31-36-58
[1]	[17]	5/5/5	7-4-31-37-61/8-13-73-37-61/7-6-73-37-61
[1]	[18]	1/2/3	9/8-12/7-1-12
[1]	[19]	2/2/3	7-6/8-13/7-1-13
[1]	[20]	3/3/4	7-6-74/8-13-74/7-4-31-39
[2]	[0]	1/2/2	10/11-7/13-71
[2]	[1]	1/2/2	11/10-0/12-68
[2]	[2]	0/0/0	-/-/-
[2]	[3]	2/2/3	10-2/12-70/10-3-22
[2]	[4]	3/3/3	10-2-15/12-70-15/10-3-23
[2]	[5]	2/3/3	10-3/11-7-3/10-2-16
[2]	[6]	3/3/3	10-2-17/12-70-17/10-4-30
[2]	[7]	2/3/3	10-4/11-7-4/10-3-24
[2]	[8]	2/3/3	13-73/10-4-31/13-74-75
[2]	[9]	3/3/4	10-4-32/10-5-53/11-7-4-32
[2]	[10]	3/4/4	13-73-35/10-4-31-35/13-74-75-35
[2]	[11]	4/5/5	13-73-35-46/10-4-31-35-46/13-74-75-35-46
[2]	[12]	4/4/4	10-4-32-42/13-73-36-56/10-5-53-42
[2]	[13]	2/3/3	10-5/11-7-5/13-71-5
[2]	[14]	3/3/4	10-5-54/13-73-36/10-4-31-36
[2]	[15]	3/3/4	13-73-37/13-74-76/10-4-31-37
[2]	[16]	4/4/4	10-5-54-58/13-73-36-58/13-74-76-60
[2]	[17]	4/4/5	13-73-37-61/13-74-76-61/10-4-31-37-61
[2]	[18]	1/2/3	12/11-9/10-0-9
[2]	[19]	1/2/3	13/10-6/11-7-6
[2]	[20]	2/3/3	13-74/10-6-74/13-73-39
[3]	[0]	1/2/3	14/16-21/15-20-21
[3]	[1]	2/2/3	14-0/18-68/14-1-11
[3]	[2]	2/2/3	14-1/18-69/14-0-8
[3]	[3]	0/0/0	-/-/-
[3]	[4]	1/2/3	15/16-23/14-3-23
